"result_rank","full_name","distance","time_id","event_desc","swimmer_age","swim_time_formatted","alt_adj_swim_time_formatted","standard_name","meet_name","swim_date","club_name","lsc_id","foreign_yesno","hytek_power_points","event_id","sanction_status"
"1","Modglin, Will","100","159407817","100 BK SCY","17","45.90","45.90","2022 Summer Nationals (LCM)","2021 East Speedo Winter Junior","12/10/2021","Zionsville Swim Club","IN","","1054","12","Yes"
"2","Simons, Nick","100","159408192","100 BK SCY","17","46.39","46.39","2022 Summer Nationals (LCM)","2021 West Speedo Winter Junior","12/10/2021","Lake Oswego Swim Club","OR","","1029","12","Yes"
"3","Marshall, Jonny","100","159407797","100 BK SCY","17","46.87","46.87","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","Firestone Akron Swim Team","LE","","1005","12","Yes"
"4","Williams, Hudson","100","159395319","100 BK SCY","16","46.88","46.88","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","New Albany Aquatic Club","OH","","1038","12","Yes"
"5","Powe, Sam","100","159407845","100 BK SCY","17","47.09","47.09","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","McCallie / GPS Aquatics","SE","","994","12","Yes"
"6","Crush, Charlie","100","159381211","100 BK SCY","17","47.10r","47.10","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/9/2021","Lakeside Swim Team","KY","","994","12","Yes"
"7","Diehl, Daniel","100","159394607","100 BK SCY","16","47.13","47.13","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","YMCA of Cumberland","MD","","1025","12","Yes"
"8","McDonald, Owen","100","159407804","100 BK SCY","17","47.21","47.21","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","Dynamo Swim Club","GA","","988","12","Yes"
"9","Germonprez, Nate","100","158044197","100 BK SCY","17","47.22","47.22","2021 Winter US Open (LCM)","2021 IA IFLY Midwest Challenge","11/6/2021","iNspire Swim Team","MW","","988","12","Yes"
"10","Zuchowski, Josh","100","158213968","100 BK SCY","17","47.29","47.29","2021 Winter US Open (LCM)","2021 FL FHSAA Class 1A Swimming Championships","11/6/2021","Unattached","FG","","984","12","Yes"
"11","Janton, Tommy","100","159407760","100 BK SCY","17","47.31","47.31","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","Western YMCA Wahoos","MA","","983","12","Yes"
"12","Irwin, Ben","100","159407756","100 BK SCY","16","47.49","47.49","2021 Winter US Open (LCM)","2021 East Speedo Winter Junior","12/10/2021","SwimAtlanta","GA","","1007","12","Yes"
