"result_rank","full_name","distance","time_id","event_desc","swimmer_age","swim_time_formatted","alt_adj_swim_time_formatted","standard_name","meet_name","swim_date","club_name","lsc_id","foreign_yesno","hytek_power_points","event_id","sanction_status"
"1","Heilman, Thomas","100","154123536","100 FL SCY","14","47.35","47.35","2021 Winter US Open (LCM)","2021 MA AP YMCA Swimming Festi","4/8/2021","Cavalier Aquatics/Piedmont Family YMCA","VA","","1086","18","Yes"
"2","Jones, Roman","100","154061871","100 FL SCY","15","47.70","47.70","2021 Winter US Open (LCM)","2021 FL Time Trials American Spring Cl","3/26/2021","Jersey Flyers Aquatic Club","NJ","","1008","18","Yes"
"3","Billitto, Andrew","100","151426472","100 FL SCY","15","48.41","48.41","2021 Winter US Open (LCM)","2020 FL FHSAA 3A Swim & Dive Championships","11/6/2020","Unattached","FL","","973","18","Yes"
"4","Lucas, Cooper","100","153597395","100 FL SCY","15","48.69","48.69","2021 Winter US Open (LCM)","2021-NT Speedo Lone Star Invitational","3/6/2021","Lakeside Aquatic Club","NT","","959","18","Yes"
"5","Ledford, Mitchell","100","151426784","100 FL SCY","15","48.73","48.73","2021 Winter US Open (LCM)","2020 FL FHSAA 3A Swim & Dive Championships","11/6/2020","Unattached","FL","","957","18","Yes"
"6","Diehl, Daniel","100","154018590","100 FL SCY","15","48.77","48.77","2021 Winter US Open (LCM)","2021 MA KA Sr. Keystone Classic","3/28/2021","Unattached","MD","","955","18","Yes"
"7","Battaglini, Lucca","100","154052773","100 FL SCY","15","48.83","48.83","2022 Summer Juniors (LCM)","2021 FL ISCA International Senior Meet","3/26/2021","Club Kick Start","NC","","952","18","Yes"
"8","Hitchcock, Drew","100","154395147","100 FL SCY","15","48.84","48.84","2022 Summer Juniors (LCM)","TISCA State High School Champi","4/17/2021","Unattached","SE","","952","18","Yes"
"9","Bermudez, Simon","100","153829368","100 FL SCY","14","48.88","48.88","2022 Summer Juniors (LCM)","2021 PV SC Championship Series- Wave II","3/18/2021","Nation's Capital Swim Club","PV","","1011","18","Yes"
"10","Verdolaga, Daniel","100","154924219","100 FL SCY","15","48.96","48.96","2022 Summer Juniors (LCM)","2021 CA OB CIF-SS Division 1","5/27/2021","Unattached","CA","","946","18","Yes"
"11","Swearingen, Chase","100","153512388","100 FL SCY","15","49.08","49.08","2021 Winter Juniors (SCY)","2021 OH OB NW District Swimmin","2/16/2021","Unattached","OH","","940","18","Yes"
"12","Dunkel, Nolan","100","153235985","100 FL SCY","15","49.14","49.14","2021 Winter Juniors (SCY)","2021 VA VHSL Class 6 State Cha","2/12/2021","Unattached","PV","","937","18","Yes"
"13","Lancaster, Carter","100","152163065","100 FL SCY","14","49.15","49.15","2021 Winter Juniors (SCY)","2020 IN CSC-Lakeside Winter Dual","12/20/2020","Carmel Swim Club","IN","","998","18","Yes"
