="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Lucas, Cooper",="400",="159408133",="400 IM SCY",="16",="3:46.26",="3:46.26",="2022 Summer Nationals (LCM)",="2021 West Speedo Winter Junior",="12/10/2021",="Lakeside Aquatic Club",="NT",="",="982",="22",="Yes"
="2","Najera, Humberto",="400",="159408158",="400 IM SCY",="16",="3:47.33",="3:47.33",="2021 Winter US Open (LCM)",="2021 West Speedo Winter Junior",="12/10/2021",="Unattached",="CA",="",="971",="22",="Yes"
="3","Jones, Keaton",="400",="159408099",="400 IM SCY",="17",="3:47.55",="3:47.55",="2021 Winter US Open (LCM)",="2021 West Speedo Winter Junior",="12/10/2021",="Swim Neptune",="AZ",="",="958",="22",="Yes"
="4","Ponsler, Kyle",="400",="159407842",="400 IM SCY",="17",="3:47.75",="3:47.75",="2021 Winter US Open (LCM)",="2021 East Speedo Winter Junior",="12/10/2021",="Fishers Area Swimming Tigers",="IN",="",="956",="22",="Yes"
="5","Sergile, Sebastien",="400",="159407861",="400 IM SCY",="17",="3:48.43",="3:48.43",="2021 Winter US Open (LCM)",="2021 East Speedo Winter Junior",="12/10/2021",="SwimAtlanta",="GA",="",="948",="22",="Yes"
="6","Scholtz, Will",="400",="159395155",="400 IM SCY",="16",="3:48.75",="3:48.75",="2021 Winter US Open (LCM)",="2021 East Speedo Winter Junior",="12/10/2021",="Lakeside Swim Team",="KY",="",="955",="22",="Yes"
="7","Parent, Josh",="400",="159813755",="400 IM SCY",="17",="3:49.55",="3:49.55",="2021 Winter US Open (LCM)",="2021 NE BGSC SCY ",="12/17/2021",="Bluefish Swim Club",="NE",="",="936",="22",="Yes"
="8","Taylor, Andrew",="400",="159161797",="400 IM SCY",="17",="3:49.78",="3:49.78",="2021 Winter US Open (LCM)",="2021 FL Speedo Holiday Classic",="12/3/2021",="Tampa Bay Aquatic Club",="FL",="",="934",="22",="Yes"
="9","Stibrich, Luke",="400",="159408201",="400 IM SCY",="16",="3:49.91",="3:49.91",="2021 Winter US Open (LCM)",="2021 West Speedo Winter Junior",="12/10/2021",="Blue Tide Aquatics",="GU",="",="943",="22",="Yes"
="10","Custer, Liam",="400",="159407721",="400 IM SCY",="17",="3:50.02",="3:50.02",="2021 Winter US Open (LCM)",="2021 East Speedo Winter Junior",="12/10/2021",="Sarasota Sharks",="FL",="",="931",="22",="Yes"
="11","Kharun, Ilya",="400",="159790370",="400 IM SCY",="16",="3:50.16",="3:50.16",="2021 Winter US Open (LCM)",="2021 CA Dec CA NV Speedo Sectionals",="12/18/2021",="Sandpipers Of Nevada",="CA",="",="940",="22",="Yes"
="12","Edmund, Mason",="400",="159398931",="400 IM SCY",="17",="3:50.20",="3:50.20",="2021 Winter US Open (LCM)",="2021 West Speedo Winter Junior",="12/10/2021",="North Texas Nadadores",="NT",="",="929",="22",="Yes"
="13","Hitchcock, Drew",="400",="159407751",="400 IM SCY",="16",="3:50.25",="3:50.25",="2021 Winter US Open (LCM)",="2021 East Speedo Winter Junior",="12/10/2021",="Baylor Swim Club",="SE",="",="939",="22",="Yes"
="14","Barnett, Toby",="400",="159698039",="400 IM SCY",="17",="3:50.48",="3:50.48",="2021 Winter US Open (LCM)",="2021 PV RMSC Holiday Invitational",="12/10/2021",="Rockville Montgomery Swim Club",="PV",="",="926",="22",="Yes"
="15","Barrieault, Brice",="400",="159398730",="400 IM SCY",="17",="3:50.92",="3:50.92",="2021 Winter US Open (LCM)",="2021 West Speedo Winter Junior",="12/10/2021",="Sandpipers Of Nevada",="CA",="",="921",="22",="Yes"
="16","Aurnou-Rhees, Spencer",="400",="158840555",="400 IM SCY",="17",="3:51.15",="3:51.15",="2021 Winter US Open (LCM)",="2021 OH MAKO Tim Myers Senior",="11/20/2021",="New Albany Aquatic Club",="OH",="",="919",="22",="Yes"
